timestamp,open,high,low,close,volume
2026-05-14 04:00:00,400.0,400.42,398.21,398.5,30267
2026-05-14 04:05:00,398.55,400.3,398.54,399.5,1910
2026-05-14 04:10:00,399.38,400.03,399.38,400.03,3175
2026-05-14 04:15:00,400.08,400.3,400.02,400.3,1717
2026-05-14 04:20:00,400.3,400.5,400.02,400.02,561
2026-05-14 04:25:00,399.85,400.01,399.85,400.01,1466
2026-05-14 04:30:00,400.3,400.4,400.16,400.24,996
2026-05-14 04:35:00,400.43,400.6,400.22,400.32,943
2026-05-14 04:40:00,400.25,400.3,399.83,399.83,835
2026-05-14 04:45:00,399.87,400.09,399.68,399.68,441
2026-05-14 04:50:00,399.8,400.21,399.8,400.21,881
2026-05-14 04:55:00,400.2,400.2,399.6808,399.98,512
2026-05-14 05:00:00,400.06,400.16,400.05,400.05,180
2026-05-14 05:05:00,400.01,400.03,399.9,399.9,813
2026-05-14 05:10:00,399.91,399.97,399.64,399.64,1435
2026-05-14 05:15:00,399.85,399.85,399.8,399.8,223
2026-05-14 05:20:00,399.8,399.84,399.6,399.6,409
2026-05-14 05:25:00,399.78,399.83,399.3,399.3,816
2026-05-14 05:30:00,399.3,399.58,399.0,399.23,2223
2026-05-14 05:35:00,399.58,399.58,398.41,398.78,1268
2026-05-14 05:40:00,398.8,399.09,398.8,399.09,397
2026-05-14 05:45:00,398.98,399.05,398.3,399.05,8481
2026-05-14 05:50:00,398.83,398.83,398.13,398.22,1029
2026-05-14 05:55:00,398.39,398.52,398.26,398.31,787
2026-05-14 06:00:00,398.3,398.91,398.3,398.91,1928
2026-05-14 06:05:00,399.06,399.35,398.9,398.9,1495
2026-05-14 06:10:00,399.14,399.73,398.83,398.9497,4332
2026-05-14 06:15:00,398.8,398.98,398.8,398.93,367
2026-05-14 06:20:00,398.67,398.86,398.62,398.62,1046
2026-05-14 06:25:00,398.84,398.84,398.84,398.84,129
2026-05-14 06:30:00,398.84,399.05,398.47,398.6,1532
2026-05-14 06:35:00,398.82,398.87,398.8,398.87,1111
2026-05-14 06:40:00,398.65,399.0,398.61,399.0,548
2026-05-14 06:45:00,398.63,398.63,398.3385,398.45,753
2026-05-14 06:50:00,398.45,398.93,398.3774,398.7,1262
2026-05-14 06:55:00,398.84,398.84,398.66,398.78,580
2026-05-14 07:00:00,398.81,398.87,398.56,398.82,2755
2026-05-14 07:05:00,398.6,399.08,398.59,398.88,3530
2026-05-14 07:10:00,398.9884,398.9884,398.76,398.76,712
2026-05-14 07:15:00,398.7,398.9,398.62,398.77,1442
2026-05-14 07:20:00,398.744,398.744,398.44,398.44,1146
2026-05-14 07:25:00,398.12,398.3,398.11,398.1101,3350
2026-05-14 07:30:00,398.22,398.3568,398.11,398.3568,3251
2026-05-14 07:35:00,398.21,398.44,398.1348,398.32,957
2026-05-14 07:40:00,398.382,398.42,398.12,398.29,1387
2026-05-14 07:45:00,398.5,398.57,398.3222,398.52,2187
2026-05-14 07:50:00,398.5999,398.5999,398.2,398.26,2076
2026-05-14 07:55:00,398.11,398.3,398.07,398.14,8599
2026-05-14 08:00:00,398.28,398.52,398.11,398.52,3202
2026-05-14 08:05:00,398.6196,398.82,398.55,398.65,1655
2026-05-14 08:10:00,398.55,398.7,398.29,398.32,2408
2026-05-14 08:15:00,398.36,398.47,398.32,398.32,2387
2026-05-14 08:20:00,398.3,398.48,398.15,398.15,2316
2026-05-14 08:25:00,398.14,399.0,397.72,398.88,7931
2026-05-14 08:30:00,399.0,399.0,398.11,398.28,2335
2026-05-14 08:35:00,398.34,398.34,397.9,398.2,976
2026-05-14 08:40:00,398.2,398.26,397.97,397.97,991
2026-05-14 08:45:00,397.95,397.98,397.65,397.66,3198
2026-05-14 08:50:00,397.6452,397.81,397.1,397.23,7829
2026-05-14 08:55:00,397.11,397.41,397.07,397.07,7821
2026-05-14 09:00:00,397.09,397.1736,397.0,397.1736,1861
2026-05-14 09:05:00,397.03,397.0975,396.21,396.3445,11076
2026-05-14 09:10:00,396.37,396.38,396.0,396.34,7630
2026-05-14 09:15:00,396.43,396.49,396.08,396.12,3020
2026-05-14 09:20:00,396.05,396.5494,396.05,396.34,7696
2026-05-14 09:25:00,396.27,396.27,393.25,393.72,39913
2026-05-14 09:30:00,393.79,396.8041,393.07,396.4,636870
2026-05-14 09:35:00,396.41,397.0,395.74,395.81,304203
2026-05-14 09:40:00,395.8537,396.32,394.94,396.08,212064
2026-05-14 09:45:00,396.12,397.55,396.02,396.89,192796
2026-05-14 09:50:00,396.885,396.95,394.89,395.23,158228
2026-05-14 09:55:00,395.235,395.43,394.36,394.65,121636
2026-05-14 10:00:00,394.61,394.82,393.87,394.53,149099
2026-05-14 10:05:00,394.54,395.347,394.4,394.81,198172
2026-05-14 10:10:00,394.87,395.3,394.5,394.53,124546
2026-05-14 10:15:00,394.5001,395.26,394.33,395.18,109456
2026-05-14 10:20:00,395.15,395.3688,394.14,394.17,150429
2026-05-14 10:25:00,394.18,394.23,392.728,393.06,191762
2026-05-14 10:30:00,393.065,394.25,392.78,394.168,134205
2026-05-14 10:35:00,394.21,394.28,393.61,394.09,138484
2026-05-14 10:40:00,394.09,394.16,393.58,393.785,123378
2026-05-14 10:45:00,393.78,394.32,393.42,393.7001,127731
2026-05-14 10:50:00,393.74,394.82,393.66,394.37,125449
2026-05-14 10:55:00,394.4,394.65,394.0,394.41,66477
2026-05-14 11:00:00,394.44,394.67,394.01,394.24,106605
2026-05-14 11:05:00,394.24,394.78,394.09,394.415,93684
2026-05-14 11:10:00,394.46,394.97,394.12,394.49,110370
2026-05-14 11:15:00,394.46,394.8446,394.41,394.81,72381
2026-05-14 11:20:00,394.8215,395.08,394.15,394.4,84675
2026-05-14 11:25:00,394.38,395.5,394.26,394.84,102679
2026-05-14 11:30:00,394.89,395.44,394.76,394.89,85571
2026-05-14 11:35:00,394.89,395.88,394.86,395.84,132207
2026-05-14 11:40:00,395.84,396.48,395.75,396.3,164591
2026-05-14 11:45:00,396.41,396.5,396.17,396.28,90797
2026-05-14 11:50:00,396.29,397.0,396.08,396.95,97590
2026-05-14 11:55:00,396.94,398.39,396.935,398.33,201382
2026-05-14 12:00:00,398.31,398.88,398.05,398.815,145946
2026-05-14 12:05:00,398.79,398.79,397.3627,397.7,137015
