timestamp,open,high,low,close,volume
2026-05-14,393.79,399.104,392.728,397.17,13805371
2026-05-15,393.215,395.88,389.76,393.32,15801942
2026-05-18,392.125,404.47,390.9,393.11,18592786
2026-05-19,393.3,393.3627,383.0,384.9,25559382
2026-05-20,385.04,390.6999,380.0,384.9,16488132
2026-05-21,382.01,388.68,379.48,383.47,16837601
2026-05-22,383.26,384.87,378.26,379.38,13382786
2026-05-26,380.995,385.39,379.14,384.84,16150933
2026-05-27,382.765,389.725,382.0,384.83,16893148
2026-05-28,383.86,390.0,381.25,386.12,20795414
